순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,연령등급,장르,러닝타임,감독,개봉월,계절
131.0,배우는 배우다,2013-10-24,811202000.0,0.10%,111948.0,297.0,9265.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),청소년 관람불가,드라마,98.0,신연식,10.0,가을
132.0,제로 다크 서티,2013-03-07,780080000.0,0.10%,108991.0,258.0,6966.0,미국,미국,(주)에스비에스콘텐츠허브,15세 관람가,스릴러,157.0,캐스린 비글로우,3.0,봄
133.0,월터의 상상은 현실이 된다,2013-12-31,743042000.0,0.00%,107278.0,378.0,1889.0,미국,미국,"글뫼 주식회사,이십세기폭스코리아(주)",12세 관람가,모험,114.0,벤 스틸러,12.0,겨울
134.0,바람이 분다,2013-09-05,747245500.0,0.00%,106439.0,288.0,6684.0,일본,일본,롯데쇼핑㈜롯데엔터테인먼트,<dd>17분</dd>,대한민국,0.0,홍유정,9.0,가을
135.0,R.I.P.D. : 알.아이.피.디.,2013-08-22,725451071.0,0.00%,101460.0,268.0,5744.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),15세 관람가,액션,95.0,로베르트 슈벤트케,8.0,여름
136.0,원피스 극장판 Z,2013-03-21,626891000.0,0.00%,93239.0,267.0,3968.0,일본,일본,(주)씨제이이엔엠,전체 관람가,애니메이션,108.0,나가미네 타츠야,3.0,봄
137.0,마마,2013-01-23,662161500.0,0.00%,91143.0,164.0,4091.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),15세 관람가,공포,100.0,안드레스 무시에티,1.0,겨울
138.0,몬스터 주식회사,2001-12-20,933962500.0,0.10%,90143.0,177.0,2594.0,미국,미국,"한국소니픽쳐스릴리징브에나비스타영화㈜,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",전체 관람가,애니메이션,92.0,피트 닥터,12.0,겨울
139.0,더 콜,2013-06-20,626952634.0,0.00%,88953.0,241.0,5412.0,미국,미국,(주)넥스트엔터테인먼트월드(NEW),청소년 관람불가,범죄,94.0,브래드 앤더슨,6.0,여름
140.0,뷰티풀 크리처스,2013-04-18,582030544.0,0.00%,82995.0,278.0,7272.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,스릴러,124.0,리처드 라그라브네스,4.0,봄
141.0,니모를 찾아서,2003-06-05,757151000.0,0.10%,73215.0,212.0,2917.0,미국,미국,월트디즈니코리아㈜,전체 관람가,애니메이션,100.0,앤드류 스탠튼,6.0,여름
142.0,화이트 고릴라,2013-10-31,464078500.0,0.00%,71796.0,182.0,2181.0,스페인,스페인,"(주)마인스 엔터테인먼트,(주)박수엔터테인먼트",전체 관람가,가족,86.0,안드레스 G. 슈에,10.0,가을
143.0,닥터,2013-06-20,495574500.0,0.00%,68312.0,163.0,4131.0,한국,한국,(주)마인스 엔터테인먼트,청소년 관람불가,스릴러,97.0,김성홍,6.0,여름
144.0,라스트 스탠드,2013-02-21,492763000.0,0.00%,66790.0,300.0,7704.0,미국,"미국,한국",(주)씨제이이엔엠,청소년 관람불가,액션,107.0,김지운,2.0,겨울
145.0,정글번치 : 빙산으로의 귀환,2013-10-02,408523000.0,0.00%,65827.0,224.0,2428.0,프랑스,프랑스,(주)팝엔터테인먼트,전체 관람가,애니메이션,71.0,데이빗 알루,10.0,가을
146.0,에반게리온: Q,2013-04-25,435800211.0,0.00%,61423.0,59.0,2778.0,일본,일본,"㈜T-JOY,씨너스엔터테인먼트(주)",15세 관람가,애니메이션,95.0,안노 히데아키,4.0,봄
147.0,호프 스프링즈,2013-04-04,388432500.0,0.00%,55273.0,179.0,3516.0,미국,미국,(주)시너지하우스 (시너지),청소년 관람불가,코미디,100.0,데이빗 프랭클,4.0,봄
148.0,돌핀 : 꿈꾸는 다니엘의 용감한 모험,2013-03-21,354256000.0,0.00%,53744.0,197.0,1897.0,페루,"페루,독일,이탈리아",팝엔터테인먼트,전체 관람가,애니메이션,86.0,에두와르도 슐츠,3.0,봄
149.0,스카이포스 3D,2013-02-28,349260500.0,0.00%,51553.0,183.0,2227.0,미국,"미국,홍콩",(주)미디어데이,전체 관람가,애니메이션,81.0,토니 탕,2.0,겨울
150.0,뜨거운 안녕,2013-05-30,315291000.0,0.00%,47105.0,172.0,3497.0,한국,"한국,일본",(주)나이너스엔터테인먼트,12세 관람가,드라마,99.0,남택수,5.0,봄
1.0,명량,2014-07-30,136000000000.0,8.80%,17613682.0,1587.0,188611.0,한국,한국,(주)씨제이이엔엠,15세 관람가,액션,128.0,김한민,7.0,여름
2.0,겨울왕국,2014-01-16,82461504400.0,5.30%,10296101.0,1010.0,157683.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체 관람가,애니메이션,103.0,크리스 벅,1.0,겨울
3.0,인터스텔라,2014-11-06,80671424300.0,5.20%,10105247.0,1410.0,166218.0,미국,"미국,영국",워너브러더스 코리아(주),12세 관람가,SF,169.0,크리스토퍼 놀란,11.0,가을
4.0,해적: 바다로 간 산적,2014-08-06,66370682706.0,4.30%,8666046.0,910.0,133350.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,12세 관람가,모험,130.0,이석훈,8.0,여름
5.0,수상한 그녀,2014-01-22,62705348249.0,4.10%,8657982.0,1027.0,136975.0,한국,한국,(주)씨제이이엔엠,15세 관람가,코미디,124.0,황동혁,1.0,겨울
6.0,변호인,2013-12-18,41918383800.0,2.70%,5687571.0,925.0,97261.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,드라마,127.0,양우석,12.0,겨울
7.0,국제시장,2014-12-17,41089567596.0,2.70%,5345677.0,966.0,63603.0,한국,한국,(주)씨제이이엔엠,12세 관람가,드라마,126.0,윤제균,12.0,겨울
8.0,트랜스포머: 사라진 시대,2014-06-25,44012752845.0,2.90%,5295836.0,1602.0,107875.0,미국,미국,(주)씨제이이엔엠,12세 관람가,SF,164.0,마이클 베이,6.0,여름
9.0,군도: 민란의 시대,2014-07-23,36988022499.0,2.40%,4774931.0,1394.0,67237.0,한국,한국,(주)쇼박스,15세 관람가,액션,137.0,윤종빈,7.0,여름
10.0,엣지 오브 투모로우,2014-06-04,38732961201.0,2.50%,4699307.0,801.0,94559.0,미국,미국,워너브러더스 코리아(주),12세 관람가,액션,113.0,더그 라이만,6.0,여름
11.0,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,34654558766.0,2.20%,4313871.0,1056.0,82722.0,미국,미국,이십세기폭스코리아(주),12세 관람가,SF,134.0,브라이언 싱어,5.0,봄
12.0,어메이징 스파이더맨 2,2014-04-23,34869101800.0,2.30%,4168353.0,1312.0,91715.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세 관람가,액션,142.0,마크 웹,4.0,봄
13.0,타짜-신의 손,2014-09-03,32373120927.0,2.10%,4015361.0,890.0,80584.0,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",청소년 관람불가,드라마,147.0,강형철,9.0,가을
14.0,혹성탈출: 반격의 서막,2014-07-10,31514053095.0,2.00%,4002560.0,956.0,72881.0,미국,미국,이십세기폭스코리아(주),12세 관람가,액션,130.0,맷 리브스,7.0,여름
15.0,캡틴 아메리카: 윈터 솔져,2014-03-26,31711040385.0,2.10%,3963251.0,1106.0,110109.0,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",15세 관람가,액션,136.0,조 루소,3.0,봄
16.0,역린,2014-04-30,29894266890.0,1.90%,3849552.0,1054.0,83296.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,드라마,135.0,이재규,4.0,봄
17.0,신의 한 수,2014-07-03,28812027456.0,1.90%,3566852.0,794.0,77109.0,한국,한국,(주)쇼박스,15세 관람가,범죄,106.0,리건,7.0,여름
18.0,끝까지 간다,2014-05-29,27007303900.0,1.80%,3450305.0,645.0,84875.0,한국,한국,(주)쇼박스,15세 관람가,범죄,111.0,김성훈,5.0,봄
19.0,드래곤 길들이기 2,2014-07-23,23979935189.0,1.60%,3000056.0,829.0,51924.0,미국,미국,(주)씨제이이엔엠,전체 관람가,애니메이션,101.0,딘 데블로이스,7.0,여름
20.0,표적,2014-04-30,22256769300.0,1.40%,2841828.0,716.0,72255.0,한국,한국,(주)씨제이이엔엠,15세 관람가,액션,98.0,창감독,4.0,봄
21.0,메이즈 러너,2014-09-18,21489367677.0,1.40%,2812427.0,655.0,71048.0,미국,미국,이십세기폭스코리아(주),12세 관람가,액션,143.0,웨스 볼,9.0,가을
22.0,호빗: 다섯 군대 전투,2014-12-17,21428483344.0,1.40%,2509887.0,926.0,43833.0,미국,"미국,뉴질랜드",워너브러더스 코리아(주),12세 관람가,판타지,144.0,피터 잭슨,12.0,겨울
23.0,나의 사랑 나의 신부,2014-10-08,16636404305.0,1.10%,2141155.0,629.0,69681.0,한국,한국,씨네그루(주)다우기술,15세 관람가,멜로/로맨스,111.0,임찬상,10.0,가을
24.0,논스톱,2014-02-27,16066549940.0,1.00%,2084482.0,582.0,58217.0,미국,"미국,프랑스",(주)넥스트엔터테인먼트월드(NEW),15세 관람가,스페인,106.0,자움 콜렛 세라,2.0,겨울
25.0,인투 더 스톰,2014-08-28,16157166332.0,1.00%,2078698.0,585.0,45899.0,미국,미국,워너브러더스 코리아(주),전체 관람가,다큐멘터리,84.0,애덤 브라운,8.0,여름
26.0,노아,2014-03-20,15514373500.0,1.00%,2026594.0,952.0,56722.0,미국,미국,(주)씨제이이엔엠,15세 관람가,모험,139.0,대런 아로노프스키,3.0,봄
27.0,남자가 사랑할 때,2014-01-22,14510222300.0,0.90%,1979311.0,531.0,41123.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,드라마,120.0,한동욱,1.0,겨울
28.0,루시,2014-09-03,16468076039.0,1.10%,1974893.0,641.0,44585.0,미국,"미국,프랑스",유니버설픽쳐스인터내셔널 코리아(유),청소년 관람불가,액션,90.0,뤽 베송,9.0,가을
29.0,용의자,2013-12-24,14408028500.0,0.90%,1954586.0,618.0,42310.0,한국,한국,(주)쇼박스,15세 관람가,액션,137.0,원신연,12.0,겨울
30.0,기술자들,2014-12-24,13652480148.0,0.90%,1778083.0,641.0,24416.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,범죄,116.0,김홍선,12.0,겨울
31.0,나를 찾아줘,2014-10-23,14017716731.0,0.90%,1764233.0,689.0,50846.0,미국,미국,이십세기폭스코리아(주),청소년 관람불가,스릴러,149.0,데이빗 핀처,10.0,가을
32.0,제보자,2014-10-02,13515762802.0,0.90%,1755181.0,676.0,58358.0,한국,한국,플러스엠 엔터테인먼트,12세 관람가,드라마,114.0,임순례,10.0,가을
33.0,피끓는 청춘,2014-01-22,11688382888.0,0.80%,1676040.0,679.0,36082.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,코미디,121.0,이연우,1.0,겨울
34.0,두근두근 내 인생,2014-09-03,12291081634.0,0.80%,1624601.0,629.0,40158.0,한국,한국,(주)씨제이이엔엠,12세 관람가,드라마,117.0,이재용,9.0,가을
35.0,우아한 거짓말,2014-03-13,11728460300.0,0.80%,1619188.0,573.0,57492.0,한국,한국,CGV아트하우스,12세 관람가,드라마,117.0,이한,3.0,봄
36.0,300: 제국의 부활,2014-03-06,13395159700.0,0.90%,1593116.0,720.0,54902.0,미국,미국,워너브러더스 코리아(주),청소년 관람불가,액션,102.0,노암 머로,3.0,봄
37.0,엑소더스: 신들과 왕들,2014-12-03,12442681926.0,0.80%,1511195.0,865.0,43742.0,미국,"미국,영국,스페인",이십세기폭스코리아(주),12세 관람가,드라마,154.0,리들리 스콧,12.0,겨울
38.0,해무(海霧),2014-08-13,11706782519.0,0.80%,1475507.0,584.0,33490.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),청소년 관람불가,드라마,111.0,심성보,8.0,여름
39.0,인간중독,2014-05-14,11284912400.0,0.70%,1441973.0,682.0,44057.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),청소년 관람불가,드라마,132.0,김대우,5.0,봄
40.0,말레피센트,2014-05-29,10776965900.0,0.70%,1397526.0,554.0,38894.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세 관람가,판타지,119.0,요아킴 뢰닝,5.0,봄
41.0,폼페이: 최후의 날,2014-02-20,10303127700.0,0.70%,1373873.0,561.0,43288.0,미국,"미국,독일",롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,액션,104.0,폴 앤더슨,2.0,겨울
42.0,퓨리,2014-11-20,10367640686.0,0.70%,1362114.0,590.0,37155.0,미국,"미국,영국",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세 관람가,액션,134.0,데이비드 에이어,11.0,가을
43.0,드라큘라: 전설의 시작,2014-10-08,10607703908.0,0.70%,1321751.0,477.0,46483.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),15세 관람가,판타지,92.0,게리 쇼어,10.0,가을
44.0,가디언즈 오브 갤럭시,2014-07-31,11098239184.0,0.70%,1311190.0,539.0,22417.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세 관람가,액션,136.0,제임스 건,7.0,여름
45.0,찌라시: 위험한 소문,2014-02-20,9111748087.0,0.60%,1221427.0,560.0,37426.0,한국,한국,(주)씨제이이엔엠,15세 관람가,드라마,121.0,김광식,2.0,겨울
46.0,빅매치,2014-11-27,8952096578.0,0.60%,1177438.0,627.0,38527.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,액션,112.0,최호,11.0,가을
47.0,슬로우 비디오,2014-10-02,8913092219.0,0.60%,1169562.0,618.0,40665.0,한국,한국,이십세기폭스코리아(주),12세 관람가,드라마,106.0,김영탁,10.0,가을
48.0,방황하는 칼날,2014-04-10,7828891800.0,0.50%,989906.0,594.0,38850.0,한국,한국,(주)씨제이이엔엠,청소년 관람불가,스릴러,122.0,이정호,4.0,봄
49.0,로보캅,2014-02-13,7299641958.0,0.50%,979509.0,627.0,29686.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세 관람가,액션,121.0,호세 파딜라,2.0,겨울
50.0,우리는 형제입니다,2014-10-23,7263255399.0,0.50%,970373.0,566.0,41638.0,한국,한국,(주)쇼박스,12세 관람가,코미디,102.0,장진,10.0,가을
51.0,애나벨,2014-10-02,7083492943.0,0.50%,926027.0,464.0,29000.0,미국,미국,워너브러더스 코리아(주),,공포,99.0,안토니오 트라쇼라스,10.0,가을
52.0,헝거게임: 모킹제이,2014-11-20,6400058044.0,0.40%,854377.0,630.0,28796.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,판타지,123.0,프란시스 로렌스,11.0,가을
53.0,월터의 상상은 현실이 된다,2013-12-31,6134220799.0,0.40%,834348.0,373.0,22938.0,미국,미국,"글뫼 주식회사,이십세기폭스코리아(주)",12세 관람가,모험,114.0,벤 스틸러,12.0,겨울
54.0,카트,2014-11-13,5912676633.0,0.40%,812490.0,544.0,28547.0,한국,한국,(주)리틀빅픽쳐스,12세 관람가,드라마,104.0,부지영,11.0,가을
55.0,관능의 법칙,2014-02-13,5858771500.0,0.40%,781516.0,591.0,30630.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,청소년 관람불가,드라마,108.0,권칠인,2.0,겨울
56.0,리오 2,2014-05-01,5669231900.0,0.40%,765961.0,598.0,14929.0,미국,미국,이십세기폭스코리아(주),전체 관람가,애니메이션,101.0,카를로스 살다나,5.0,봄
57.0,"안녕, 헤이즐",2014-08-13,5833905000.0,0.40%,749146.0,326.0,17946.0,미국,미국,이십세기폭스코리아(주),12세 관람가,드라마,125.0,조쉬 분,8.0,여름
58.0,고질라,2014-05-15,5972847963.0,0.40%,709734.0,610.0,25335.0,미국,미국,워너브러더스 코리아(주),12세 관람가,액션,123.0,가렛 에드워즈,5.0,봄
59.0,트랜센던스,2014-05-14,5478536500.0,0.40%,696436.0,417.0,23243.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,12세 관람가,액션,119.0,월리 피스터,5.0,봄
60.0,상의원,2014-12-24,5293724564.0,0.30%,676632.0,466.0,13809.0,한국,한국,"(주)쇼박스,(주)와우픽쳐스",15세 관람가,드라마,127.0,이원석,12.0,겨울
61.0,플랜맨,2014-01-09,4528561558.0,0.30%,632299.0,458.0,20459.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,코미디,115.0,성시흡,1.0,겨울
62.0,우는 남자,2014-06-04,4924852800.0,0.30%,603495.0,508.0,22322.0,한국,한국,(주)씨제이이엔엠,청소년 관람불가,액션,116.0,이정범,6.0,여름
63.0,타잔 3D,2014-01-09,4452845000.0,0.30%,597142.0,527.0,12994.0,독일,독일,(주)싸이더스,전체 관람가,애니메이션,94.0,라인하드 클루스,1.0,겨울
64.0,패션왕,2014-11-06,4367545379.0,0.30%,594871.0,523.0,25487.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,드라마,114.0,오기환,11.0,가을
65.0,황제를 위하여,2014-06-11,4754501771.0,0.30%,592435.0,423.0,26736.0,한국,한국,유나이티드픽처스(주),15세 관람가,액션,104.0,박상준,6.0,여름
66.0,더 울프 오브 월스트리트,2014-01-09,4490682000.0,0.30%,585082.0,395.0,13735.0,미국,미국,주식회사 우리네트웍스,청소년 관람불가,코미디,179.0,마틴 스콜세지,1.0,겨울
67.0,스텝 업: 올 인,2014-09-03,4337490134.0,0.30%,564589.0,325.0,15372.0,미국,미국,(주)나이너스엔터테인먼트,12세 관람가,드라마,111.0,트리시 시에,9.0,가을
68.0,어바웃 타임,2013-12-05,4077030200.0,0.30%,536634.0,282.0,12323.0,영국,영국,유니버설픽쳐스인터내셔널 코리아(유),15세 관람가,멜로/로맨스,123.0,리차드 커티스,12.0,겨울
69.0,몬스터,2014-03-13,4138207515.0,0.30%,526557.0,527.0,25460.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,청소년 관람불가,스릴러,114.0,황인호,3.0,봄
70.0,노예 12년,2014-02-27,3644423700.0,0.20%,498043.0,326.0,19373.0,미국,"미국,영국","판씨네마(주),(주)프레인글로벌",15세 관람가,드라마,134.0,스티브 맥퀸,2.0,겨울
71.0,또 하나의 약속,2014-02-06,3533799400.0,0.20%,497613.0,192.0,14847.0,한국,한국,영화사올(주),12세 관람가,드라마,115.0,김태윤,2.0,겨울
72.0,엔더스 게임,2013-12-31,3695768000.0,0.20%,487679.0,458.0,18384.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,12세 관람가,SF,114.0,개빈 후드,12.0,겨울
73.0,소녀괴담,2014-07-02,3554806054.0,0.20%,481696.0,455.0,19432.0,한국,한국,(주)리틀빅픽쳐스,15세 관람가,드라마,85.0,믹키 리델,7.0,여름
74.0,조선미녀삼총사,2014-01-29,3471341321.0,0.20%,480361.0,388.0,14031.0,한국,한국,(주)쇼박스,12세 관람가,코미디,107.0,박제현,1.0,겨울
75.0,넛잡: 땅콩 도둑들,2014-01-29,3283691800.0,0.20%,478993.0,382.0,10817.0,한국,"한국,캐나다,미국",(주)싸이더스,전체 관람가,애니메이션,86.0,피터 레페니오티스,1.0,겨울
76.0,마담 뺑덕,2014-10-02,3728980590.0,0.20%,471172.0,536.0,21636.0,한국,한국,(주)씨제이이엔엠,청소년 관람불가,멜로/로맨스,111.0,임필성,10.0,가을
77.0,썬더와 마법저택,2013-12-24,3004330500.0,0.20%,444848.0,396.0,9501.0,벨기에,벨기에,(주)씨제이이엔엠,전체 관람가,애니메이션,86.0,벤 스타센,12.0,겨울
78.0,다이버전트,2014-04-16,3297769011.0,0.20%,424045.0,511.0,21396.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,12세 관람가,액션,121.0,로베르트 슈벤트케,4.0,봄
79.0,주온 : 끝의 시작,2014-07-16,3071127231.0,0.20%,410644.0,394.0,15339.0,일본,일본,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,공포,91.0,오치아이 마사유키,7.0,여름
80.0,좋은 친구들,2014-07-10,3222101031.0,0.20%,407228.0,371.0,17831.0,한국,한국,(주)씨제이이엔엠,청소년 관람불가,범죄,114.0,이도윤,7.0,여름
81.0,닌자터틀,2014-08-28,3321120147.0,0.20%,400329.0,479.0,15188.0,미국,미국,(주)씨제이이엔엠,12세 관람가,액션,112.0,데이브 그린,8.0,여름
82.0,명탐정 코난 : 이차원의 저격수,2014-08-06,2768375000.0,0.20%,398606.0,299.0,6834.0,일본,일본,(주)씨제이이엔엠,12세 관람가,애니메이션,110.0,시즈노 코분,8.0,여름
83.0,나의 독재자,2014-10-30,2906674546.0,0.20%,385932.0,654.0,24217.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,드라마,127.0,이해준,10.0,가을
84.0,천재 강아지 미스터 피바디,2014-04-24,2859791400.0,0.20%,385552.0,533.0,10520.0,미국,미국,(주)씨제이이엔엠,전체 관람가,애니메이션,92.0,롭 민코프,4.0,봄
85.0,하이힐,2014-06-03,2750311500.0,0.20%,341634.0,385.0,16750.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,청소년 관람불가,느와르,125.0,장진,6.0,여름
86.0,선 오브 갓,2014-04-10,2393896300.0,0.20%,329252.0,419.0,15313.0,미국,미국,(주)프레인글로벌,12세 관람가,드라마,138.0,크리스토퍼 스펜서,4.0,봄
87.0,잭 라이언 : 코드네임 쉐도우,2014-01-16,2395391500.0,0.20%,327589.0,419.0,12908.0,미국,"미국,러시아",(주)씨제이이엔엠,12세 관람가,액션,105.0,케네스 브래너,1.0,겨울
88.0,"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",2014-01-09,2080468500.0,0.10%,320409.0,406.0,8363.0,일본,일본,(주)씨제이이엔엠,전체 관람가,애니메이션,94.0,유야마 쿠니히코,1.0,겨울
89.0,숲속으로,2014-12-24,2409562888.0,0.20%,317406.0,356.0,7709.0,미국,미국,월트디즈니컴퍼니코리아(주),전체 관람가,판타지,125.0,롭 마샬,12.0,겨울
90.0,레드카펫,2014-10-23,2405669580.0,0.20%,316953.0,385.0,17696.0,한국,한국,(주)프레인글로벌,전체 관람가,다큐멘터리,90.0,프레드릭 발리프,10.0,가을
91.0,미녀와 야수,2014-06-18,2393617300.0,0.20%,316332.0,387.0,15414.0,프랑스,프랑스,(주)넥스트엔터테인먼트월드(NEW),전체 관람가,판타지,129.0,빌 콘돈,6.0,여름
92.0,비행기 2: 소방구조대,2014-08-13,2246970700.0,0.10%,311456.0,341.0,6562.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체 관람가,애니메이션,83.0,로버츠 개너웨이,8.0,여름
93.0,프랑켄슈타인: 불멸의 영웅,2014-02-06,2175466123.0,0.10%,299205.0,378.0,12113.0,미국,"미국,호주",(주)쇼박스,12세 관람가,액션,93.0,스튜어트 베티,2.0,겨울
94.0,"러브, 로지",2014-12-10,2223782646.0,0.10%,292177.0,379.0,11935.0,영국,"영국,독일",(주)넥스트엔터테인먼트월드(NEW),15세 관람가,멜로/로맨스,102.0,크리스티안 디터,12.0,겨울
95.0,오큘러스,2014-05-29,2122466537.0,0.10%,279488.0,336.0,9210.0,미국,미국,씨네그루(주)다우기술,<dd>18분</dd>,미스터리,105.0,마이크 플래너건,5.0,봄
96.0,사랑에 대한 모든 것,2014-12-10,2124639846.0,0.10%,273336.0,399.0,12417.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),12세 관람가,멜로/로맨스,123.0,제임스 마쉬,12.0,겨울
97.0,노벰버 맨,2014-10-16,1891131320.0,0.10%,252444.0,395.0,16197.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,액션,101.0,로저 도널드슨,10.0,가을
98.0,툼스톤,2014-09-18,1875449247.0,0.10%,242707.0,378.0,16226.0,미국,미국,(주)인벤트스톤,청소년 관람불가,액션,113.0,스콧 프랭크,9.0,가을
99.0,레고 무비,2014-02-06,1601300200.0,0.10%,236129.0,317.0,6703.0,미국,미국,워너브러더스 코리아(주),전체 관람가,애니메이션,107.0,마이크 미첼,2.0,겨울
100.0,뽀로로 극장판 눈요정 마을 대모험,,1160549300.0,0.10%,231875.0,181.0,4990.0,한국,한국,,전체 관람가,애니메이션,35.0,김현호,,가을
101.0,쓰리데이즈 투 킬,2014-04-03,1749223200.0,0.10%,229673.0,388.0,13766.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,액션,115.0,맥지,4.0,봄
102.0,저스틴,2013-12-31,1526356500.0,0.10%,229577.0,332.0,6164.0,스페인,스페인,(주)넥스트엔터테인먼트월드(NEW),전체 관람가,애니메이션,90.0,마누엘 시실라,12.0,겨울
103.0,극장판 루팡 3세 VS 명탐정 코난,2014-05-29,1585872205.0,0.10%,225842.0,327.0,5429.0,일본,일본,(주)씨제이이엔엠,12세 관람가,애니메이션,108.0,카메가키 하지메,5.0,봄
104.0,헤라클레스 : 레전드 비긴즈,2014-04-10,1662357151.0,0.10%,221340.0,390.0,14217.0,미국,미국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,액션,99.0,레니 할린,4.0,봄
105.0,"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",2014-10-02,1567640100.0,0.10%,215046.0,363.0,6727.0,일본,일본,(주)이수C&E,전체 관람가,액션,60.0,사카모토 코이치,10.0,가을
106.0,덕수리 5형제,2014-12-04,1590807200.0,0.10%,210777.0,346.0,10719.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,코미디,102.0,전형준,12.0,겨울
107.0,덤 앤 더머 투,2014-11-27,1436861585.0,0.10%,192726.0,343.0,8990.0,미국,미국,씨네그루(주)다우기술,15세 관람가,코미디,108.0,바비 패럴리,11.0,가을
108.0,론 서바이버,2014-04-02,1433147820.0,0.10%,190611.0,305.0,11565.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),15세 관람가,액션,121.0,피터 버그,4.0,봄
109.0,컬러풀 웨딩즈,2014-10-16,1455808980.0,0.10%,190384.0,343.0,12956.0,프랑스,프랑스,(주)이수C&E,12세 관람가,코미디,97.0,필립 드 쇼브홍,10.0,가을
110.0,일곱난쟁이,2014-12-24,1317916900.0,0.10%,184661.0,263.0,2847.0,독일,독일,플러스엠 엔터테인먼트,전체 관람가,애니메이션,90.0,헤랄드 지페르만,12.0,겨울
111.0,명탐정 코난 : 탐정들의 진혼가,2014-02-13,1199685100.0,0.10%,182666.0,294.0,5499.0,일본,일본,(주)씨제이이엔엠,12세 관람가,애니메이션,111.0,야마모토 야스이치로,2.0,겨울
112.0,라스트베가스,2014-05-08,1363570176.0,0.10%,177938.0,349.0,10796.0,미국,미국,(주)나이너스엔터테인먼트,15세 관람가,코미디,104.0,존 터틀타웁,5.0,봄
113.0,아빠를 빌려드립니다,2014-11-20,1190329500.0,0.10%,172652.0,326.0,8457.0,한국,한국,"플러스엠 엔터테인먼트,(주)레드로버",12세 관람가,드라마,112.0,김덕수,11.0,가을
114.0,극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~,2014-09-04,1200157300.0,0.10%,168171.0,277.0,4040.0,일본,일본,(주)이수C&E,전체 관람가,애니메이션,109.0,야쿠와 신노스케,9.0,가을
115.0,호빗: 스마우그의 폐허,2013-12-12,1286428767.0,0.10%,166866.0,172.0,4394.0,미국,"미국,뉴질랜드",워너브러더스 코리아(주),12세 관람가,판타지,161.0,피터 잭슨,12.0,겨울
